"","variable","vif_score"
"1","GarageType_Attchd",72.9754900335506
"2","GarageType_Detchd",58.4798340370167
"3","MSZoning_RL",44.0625622281172
"4","BsmtQual_None",43.213106223088
"5","BsmtExposure_None",38.0278964388182
"6","MSZoning_RM",29.2911730258336
"7","FireplaceQu_None",20.1966013845942
"8","Neighborhood_NAmes",19.998493859697
"9","Exterior1st_VinylSd",19.200814760126
"10","GarageType_None",18.5517396305552
"11","GarageType_BuiltIn",18.477004315217
"12","ExterQual_TA",16.6836049989147
"13","Neighborhood_OldTown",16.6051757067509
"14","MSZoning_FV",15.5058463366448
"15","FireplaceQu_Gd",14.4243009757436
"16","FireplaceQu_TA",13.6710644621838
"17","ExterQual_Gd",12.8401656187303
"18","Neighborhood_CollgCr",12.1639913274912
"19","Exterior1st_HdBoard",11.445577674889
"20","Neighborhood_Somerst",10.8694573243193
"21","Exterior1st_MetalSd",10.6649385858269
"22","BsmtQual_TA",10.5718660753512
"23","Age",10.5138252708325
"24","Neighborhood_Edwards",10.1243352519985
"25","Exterior1st_Wd.Sdng",10.0132969167634
"26","GrLivArea",9.9684016050622
"27","KitchenQual_TA",9.84570239227995
"28","Neighborhood_BrkSide",8.31429950975455
"29","Neighborhood_Sawyer",8.09697366959921
"30","Neighborhood_Gilbert",7.83779121063784
"31","Neighborhood_NWAmes",7.72837375778104
"32","Foundation_PConc",7.39870363342158
"33","KitchenQual_Gd",7.34945456222785
"34","Neighborhood_IDOTRR",7.04929797838268
"35","BsmtQual_Gd",6.99416941871428
"36","Exterior1st_Plywood",6.85559505595399
"37","Neighborhood_NridgHt",6.82881067158877
"38","HouseStyle_1Story",6.36413835851003
"39","Neighborhood_Crawfor",6.20379336591106
"40","Foundation_CBlock",6.14131993498772
"41","Neighborhood_SawyerW",6.00529141054551
"42","TotalBsmtSF",5.93636358980272
"43","Neighborhood_Mitchel",5.47948344077959
"44","GarageType_Basment",5.12300030002497
"45","Fence_None",5.04373358572502
"46","Exterior1st_CemntBd",4.8160178518237
"47","TotRmsAbvGrd",4.773849819087
"48","OverallQual",4.71785285602067
"49","Neighborhood_NoRidge",4.71529872206385
"50","HouseStyle_2Story",4.49341546975776
"51","Neighborhood_Timber",4.29766017769027
"52","Neighborhood_SWISU",3.98358107111034
"53","MSZoning_RH",3.97548326693201
"54","Neighborhood_ClearCr",3.93539122245054
"55","BsmtCond_TA",3.92430337100528
"56","Fence_MnPrv",3.79444398162624
"57","GarageCars",3.65466293470526
"58","Foundation_Slab",3.65293632783303
"59","Exterior1st_BrkFace",3.62816749912573
"60","Neighborhood_MeadowV",3.54800860843089
"61","Neighborhood_BrDale",3.29666309998815
"62","LandContour_Lvl",3.19687327657313
"63","GarageType_CarPort",2.96060945271964
"64","Neighborhood_StoneBr",2.91061812099959
"65","BsmtCond_Gd",2.89608861863333
"66","SaleCondition_Partial",2.86192615726039
"67","BsmtExposure_No",2.80961674101813
"68","Re_Age",2.80019832028464
"69","FireplaceQu_Fa",2.74979006473438
"70","SaleCondition_Normal",2.68881815240828
"71","BldgType_TwnhsE",2.67213073171988
"72","ExterQual_Fa",2.56262668293194
"73","KitchenQual_Fa",2.42277722460922
"74","LotArea",2.4199216894545
"75","Exterior1st_WdShing",2.4084324917959
"76","LotFrontage",2.38693391137581
"77","TotalFullBath",2.38575930220376
"78","LandContour_Low",2.36851183816285
"79","SeasonSold_Summer",2.3651761438795
"80","BsmtQual_Fa",2.35652183945117
"81","SeasonSold_Spring",2.30565894422877
"82","Exterior1st_Stucco",2.28908982101926
"83","BldgType_Twnhs",2.26090614657649
"84","LandContour_HLS",2.25126238677355
"85","HeatingQC_TA",2.22502552197754
"86","Fence_GdWo",2.14689336526158
"87","FireplaceQu_Po",2.14480486815735
"88","TotalHalfBath",2.12288885982401
"89","HouseStyle_SLvl",2.09827693451697
"90","HouseStyle_SFoyer",2.04921501592454
"91","LandSlope_Sev",2.04621266352547
"92","Neighborhood_Veenker",2.03450525327661
"93","CentralAir_Y",1.94236130147134
"94","Neighborhood_NPkVill",1.92401183705481
"95","BldgType_Duplex",1.89677594995121
"96","BsmtExposure_Gd",1.87012048173082
"97","BsmtExposure_Mn",1.74481952081578
"98","LandSlope_Mod",1.72359587094924
"99","SeasonSold_Winter",1.70382428019128
"100","LotConfig_CulDSac",1.66796796590468
"101","LotConfig_Inside",1.65535999630243
"102","PavedDrive_Y",1.61135499915096
"103","LotShape_Reg",1.54950360313659
"104","HeatingQC_Gd",1.51817049402641
"105","Street_Pave",1.50033382282657
"106","HeatingQC_Fa",1.49696865981947
"107","SaleCondition_Alloca",1.45999316978481
"108","OpenPorchSF",1.37740753402997
"109","WoodDeckSF",1.37178104987988
"110","HouseStyle_1.5Unf",1.34534614081343
"111","Functional_Typ",1.32423862885664
"112","Fence_MnWw",1.31221674689228
"113","Neighborhood_Blueste",1.31188608061501
"114","RRAe",1.31039162880083
"115","LotConfig_FR2",1.30961247749609
"116","SaleCondition_Family",1.30433762486272
"117","Artery",1.30143994625873
"118","HouseStyle_2.5Unf",1.29986174525305
"119","BldgType_2fmCon",1.29924516705645
"120","BsmtCond_Po",1.29911407828206
"121","Exterior1st_CBlock",1.28554549026459
"122","HeatingQC_Po",1.28171800438155
"123","LotShape_IR2",1.24905216648345
"124","Feedr",1.24831831839168
"125","PoolQC",1.23546398026009
"126","RRNn",1.22750517911833
"127","LotShape_IR3",1.22534992993351
"128","SaleCondition_AdjLand",1.22265847737523
"129","RRAn",1.21185307507174
"130","Exterior1st_BrkComm",1.2104346013214
"131","Exterior1st_AsphShn",1.18672001008393
"132","Foundation_Wood",1.1843923189457
"133","Foundation_Stone",1.17492850778843
"134","PosA",1.16915634681639
"135","ScreenPorch",1.16223780468609
"136","PosN",1.13185694566985
"137","LotConfig_FR3",1.12984768293752
"138","MiscVal",1.09257528973907
"139","RRNe",1.08096042306667
